	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
732	lnc-KCTD6-3	lnc-KCTD6-3	N/A	N/A	N/A	laryngeal cancer	C32		RNA-seq, qPCR etc.	cell lines (UMSCC-22B)	down-regulated	We confirmed the dysregulation of these noncoding RNAs in head and neck cancer cell lines derived from different anatomic sites, and determined that ectopic expression of the two lncRNAs inhibited key EMT and stem cell genes and reduced cellular proliferation and migration.	25904139	2015	Transcriptome sequencing uncovers novel long noncoding and small nucleolar RNAs dysregulated in head and neck squamous cell carcinoma.
733	lnc-KCTD6-3	lnc-KCTD6-3	N/A	N/A	chr3:58501160-58502860	pharyngeal cancer	C14		RNA-seq, qPCR etc.	cell lines (HN-1, HN-30)	down-regulated	We confirmed the dysregulation of these noncoding RNAs in head and neck cancer cell lines derived from different anatomic sites, and determined that ectopic expression of the two lncRNAs inhibited key EMT and stem cell genes and reduced cellular proliferation and migration.	25904139	2015	Transcriptome sequencing uncovers novel long noncoding and small nucleolar RNAs dysregulated in head and neck squamous cell carcinoma.
734	lnc-KCTD6-3	lnc-KCTD6-3	N/A	N/A	chr3:58501160-58502860	tongue cancer	C02		RNA-seq, qPCR etc.	cell lines (UMSCC-10B, HN-12)	down-regulated	We confirmed the dysregulation of these noncoding RNAs in head and neck cancer cell lines derived from different anatomic sites, and determined that ectopic expression of the two lncRNAs inhibited key EMT and stem cell genes and reduced cellular proliferation and migration.	25904139	2015	Transcriptome sequencing uncovers novel long noncoding and small nucleolar RNAs dysregulated in head and neck squamous cell carcinoma.
735	lnc-LCE5A-1	lnc-LCE5A-1	N/A	N/A	chr1:152511260-152512570	laryngeal cancer	C32		RNA-seq, qPCR etc.	cell lines (UMSCC-22B)	down-regulated	We confirmed the dysregulation of these noncoding RNAs in head and neck cancer cell lines derived from different anatomic sites, and determined that ectopic expression of the two lncRNAs inhibited key EMT and stem cell genes and reduced cellular proliferation and migration.	25904139	2015	Transcriptome sequencing uncovers novel long noncoding and small nucleolar RNAs dysregulated in head and neck squamous cell carcinoma.
736	lnc-LCE5A-1	lnc-LCE5A-1	N/A	N/A	chr1:152511260-152512570	pharyngeal cancer	C14		RNA-seq, qPCR etc.	cell lines (HN-1, HN-30)	down-regulated	We confirmed the dysregulation of these noncoding RNAs in head and neck cancer cell lines derived from different anatomic sites, and determined that ectopic expression of the two lncRNAs inhibited key EMT and stem cell genes and reduced cellular proliferation and migration.	25904139	2015	Transcriptome sequencing uncovers novel long noncoding and small nucleolar RNAs dysregulated in head and neck squamous cell carcinoma.
737	lnc-LCE5A-1	lnc-LCE5A-1	N/A	N/A	chr1:152511260-152512570	tongue cancer	C02		RNA-seq, qPCR etc.	cell lines (UMSCC-10B, HN-12)	down-regulated	We confirmed the dysregulation of these noncoding RNAs in head and neck cancer cell lines derived from different anatomic sites, and determined that ectopic expression of the two lncRNAs inhibited key EMT and stem cell genes and reduced cellular proliferation and migration.	25904139	2015	Transcriptome sequencing uncovers novel long noncoding and small nucleolar RNAs dysregulated in head and neck squamous cell carcinoma.
738	lnc-LCP2-2	lnc-LCP2-2	N/A	N/A	N/A	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	down-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
739	lnc-LLPH-2:1	lnc-LLPH-2:1	N/A	N/A	chr12:66128000-66137200	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	papillary thyroid carcinoma tissue	up-regulated	We randomly chose a total of 10 differentially expressed lncRNAs for qPCR, of which TCONS_l2_00010365, n386477, n340790, lnc-LLPH-2:1 and NR_003225.2 were up-regulated and lnc-PSD4-1:14, n335550, lnc-KCMF1-2:1, lnc-PLA2R1-1:1 and ENST00000422494.1 were down-regulated in PTC. The results of qPCR were consistent with those of the microarray, in that all 10 lncRNAs were differentially expressed with the same trend (up- or down-regulated) and reached statistical significance.	26003293	2015	Genome-wide analysis of long noncoding RNA expression profile in papillary thyroid carcinoma.
740	lnc-MBL2-4:3	lnc-MBL2-4:3	N/A	N/A	N/A	tongue squamous cell carcinoma	C02	M8070/3	microarray, qPCR etc.	tongue SCC tissue	up-regulated	Overexpression of lnc-SPRR2D-1 and lnc-PPP2R4-5 was found in the tongue SCC tissue. Overexpression of the lnc-MBL2-4:3 in the tongue SCC was highly significant in comparison with the paired normal epithelia. Lnc-AL355149.1-1 was the only lncRNA found to be downregulated in the tongue SCC tissues.The association of lncRNA with the T-stage and nodal status of tongue SCC patients suggested that lncRNA deregulation was involved in the pathogenesis of tongue SCC.	25045670	2014	Long non-coding RNA deregulation in tongue squamous cell carcinoma.
741	lnc-PLA2R1-1:1	lnc-PLA2R1-1:1	N/A	N/A	N/A	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	papillary thyroid carcinoma tissue	down-regulated	We randomly chose a total of 10 differentially expressed lncRNAs for qPCR, of which TCONS_l2_00010365, n386477, n340790, lnc-LLPH-2:1 and NR_003225.2 were up-regulated and lnc-PSD4-1:14, n335550, lnc-KCMF1-2:1, lnc-PLA2R1-1:1 and ENST00000422494.1 were down-regulated in PTC. The results of qPCR were consistent with those of the microarray, in that all 10 lncRNAs were differentially expressed with the same trend (up- or down-regulated) and reached statistical significance.	26003293	2015	Genome-wide analysis of long noncoding RNA expression profile in papillary thyroid carcinoma.
742	lnc-PPP2R4-5	lnc-PPP2R4-5; LINC01503	ENSG00000233901	NR_120685	chr9:129332300-129359538	tongue squamous cell carcinoma	C02	M8070/3	microarray, qPCR etc.	tongue SCC tissue	up-regulated	Overexpression of lnc-SPRR2D-1 and lnc-PPP2R4-5 was found in the tongue SCC tissue. Overexpression of the lnc-MBL2-4:3 in the tongue SCC was highly significant in comparison with the paired normal epithelia. Lnc-AL355149.1-1 was the only lncRNA found to be downregulated in the tongue SCC tissues.The association of lncRNA with the T-stage and nodal status of tongue SCC patients suggested that lncRNA deregulation was involved in the pathogenesis of tongue SCC.	25045670	2014	Long non-coding RNA deregulation in tongue squamous cell carcinoma.
743	lnc-PSD4-1:14	lnc-PSD4-1:14	N/A	N/A	N/A	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	papillary thyroid carcinoma tissue	down-regulated	We randomly chose a total of 10 differentially expressed lncRNAs for qPCR, of which TCONS_l2_00010365, n386477, n340790, lnc-LLPH-2:1 and NR_003225.2 were up-regulated and lnc-PSD4-1:14, n335550, lnc-KCMF1-2:1, lnc-PLA2R1-1:1 and ENST00000422494.1 were down-regulated in PTC. The results of qPCR were consistent with those of the microarray, in that all 10 lncRNAs were differentially expressed with the same trend (up- or down-regulated) and reached statistical significance.	26003293	2015	Genome-wide analysis of long noncoding RNA expression profile in papillary thyroid carcinoma.
744	lncRNA-422	lncRNA-422	N/A	N/A	N/A	colorectal cancer	C19.9		microarray, qPCR etc.	CRC tissue	up-regulated	Two of the lncRNAs, HOTAIR and a novel lncRNA, lncRNA-422 were confirmed in more samples. GSEA indicated that gene sets most correlated with them were those named up-regulated in KRAS-over, down-regulated in JAK2-knockout, down-regulated in PDGF-over and down-regulated in TBK1-knockout, all of which were cancer-related. Subsequently, GO analyses of most significantly correlated coding genes of HOTAIR and lncRNA-422 showed that these two lncRNAs may participate in carcinogenesis by regulating protein coding genes involved in special biological process relevant to cancer.	25456707	2014	Genome-wide analysis of long noncoding RNA signature in human colorectal cancer.
745	lncRNA-AK058803	lncRNA-AK058803	N/A	N/A	N/A	breast cancer	C50		qPCR, Western blot, RNAi etc.	breast cancer tissue, cell lines (MCF-7)	up-regulated	The expression levels of lncRNA-AK058003 were increased significantly in the breast cancer tissues and were found to strongly correlate with the severity of the breast cancer clinical stage.	26136884	2015	Unregulated long non-coding RNA-AK058003 promotes the proliferation, invasion and metastasis of breast cancer by regulating the expression levels of the γ-synuclein gene.
746	LncRNA-AP001631.9	LncRNA-AP001631.9	ENSG00000236663 	N/A	chr21:43140523-43141092	gastric cancer	C16		qPCR, RNAi etc.	gastric cancer tissue, cell lines (AGS, MGC803, BGC823, SGC7901)	up-regulated	The qRT-PCR data indicated that the LncRNA-AP001631.9 expression was frequently increased in gastric cancer tissues. The expression level of LncRNA-AP001631.9 was positively correlated with that of FOXM1. The transwell and wound healing assays indicated that LncRNA-AP001631.9 was required for the migration of gastric cancer cells. The downregulation of LncRNA-AP001631.9 by small interference RNA suppressed the migratory ability of MGC803 and AGS cells, while the overexpression of LncRNA-AP001631.9 promoted the movement of BGC823 and SGC7901 cells.	26261500	2015	LncRNA-AP001631.9 promotes cell migration in gastric cancer.
747	lncRNA-ATB	lncRNA-ATB	N/A	N/A	N/A	colon cancer	C18		qPCR etc.	colon cancer tissues	up-regulated 	LncRNA-ATB was upregulated in colon cancer tissues compared with adjacent mucosa. LncRNA-ATB levels were also higher in metastatic cancer tissues. Among the three highly invasive colon cancer cell lines, lncRNA-ATB levels were relatively higher with concurrent low levels of E-cad compared with levels in the three low-invasive cell lines. LncRNA-ATB expression correlated with pN stage and AJCC stage. Striking differences were observed in overall survival and disease-free survival in cases with both high lncRNA-ATB expression and low E-cad expression. Reduction of lncRNA-ATB increased expression of epithelial markers E-cad, ZO-1, and decreased expression of mesenchymal markers ZEB1 and N-cadherin (N-cad), and significantly influenced colon cancer cell progression. Plasma lncRNA-ATB was upregulated in colon cancer patients one month after surgery.	26487301	2015	LncRNA-ATB mediated E-cadherin repression promotes the progression of colon cancer and predicts poor prognosis
748	lncRNA-ATB	lncRNA-ATB	N/A	N/A	N/A	colorectal cancer	C19.9		qPCR etc.	CRC tissue	up-regulated	High lncRNA-ATB expression was significantly associated with greater tumor size, depth of tumor invasion, lymphatic invasion, vascular invasion, and lymph node metastasis. Patients of the high-lncRNA-ATB expression group had significantly poorer outcomes than those of the low-expression group. Additionally, levels of lncRNA-ATB expression were significantly higher in patients with hematogenous metastases. lncRNA-ATB may be involved in the progression of CRC and be a novel indicator of poor prognosis in patients with CRC.	25750289	2015	A Long Noncoding RNA, lncRNA-ATB, Is Involved in the Progression and Prognosis of Colorectal Cancer.
749	lncRNA-ATB	lncRNA-ATB	N/A	N/A	N/A	gastric cancer	C16		qPCR etc.	gastric cancer tissue, cell lines (MKN1, MKN7, MKN28, MKN45, MKN74 etc.)	differential expression	The high lncRNA-ATB group experienced a lower overall survival rate compared with the low lncRNA-ATB group, and multivariate analysis indicated that lncRNA-ATB was an independent prognostic factor (hazard ratio 3.50; 95 % CI 1.73-7.44; p = 0.0004).LncRNA-ATB plays an important role in EMT to promote invasion and metastasis through the TGFb/miR-200s/ZEB axis, resulting in a poor prognosis in GC.LncRNA-ATB is a novel biomarker of lncRNA, indicative of a poor prognosis in GC patients.	25986864	2015	A Long Non-coding RNA Activated by Transforming Growth Factor-β is an Independent Prognostic Marker of Gastric Cancer.
750	lncRNA-ATB	lncRNA-ATB	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	HCC tissue, cell lines (SMMC-7721)	up-regulated	In this study, we observed that the lncRNA-activated by TGFβ1 (lncRNA-ATB) was upregulated in hepatocellular carcinoma (HCC) metastases and associated with poor prognosis. lncRNA-ATB upregulated ZEB1 and ZEB2 by competitively binding the miR-200 family and then induced EMT and invasion. In addition, lncRNA-ATB promoted organ colonization of disseminated tumor cells by binding IL-11 mRNA, autocrine induction of IL-11, and triggering STAT3 signaling. 	24768205	2014	A long noncoding RNA activated by TGFβ1-promotes the invasion-metastasis cascade in hepatocellular carcinoma.
751	lncRNA-ATB	lncRNA-ATB	N/A	N/A	N/A	pancreatic cancer	C25		qPCR etc.	pancreatic cancer and paired adjacent normal pancreatic tissues, cell lines (HPDE6c-7)	down-regulated	We found that lncRNA-ATB expression was decreased in pancreatic cancer tissues and pancreatic cancer cell lines. Low lncRNA-ATB expression levels were significantly correlated with lymph node metastases (yes vs. no, P = 0.009), neural invasion (positive vs. negative, P = 0.049), and clinical stage (early stage vs. advanced stage, P = 0.014). Moreover, patients with low lncRNA-ATB expression levels exhibited markedly worse overall survival prognoses (P < 0.001). Multivariate analysis indicated that decreased lncRNA-ATB expression was an independent predictor of poor prognosis in pancreatic cancer patients (P = 0.005). 	26482611	2015	Downregulation of lncRNA-ATB correlates with clinical progression and unfavorable prognosis in pancreatic cancer
752	lncRNA-BGL3	BGLT3; BGL3; LINC01083; lncRNA-BGL3	ENSG00000260629	NR_121648	chr11:5244554-5245547	chronic myeloid leukemia		M9863/3	microarray, qPCR, Western blot etc.	cell lines (K562)	up-regulated	We observed that lncRNA-BGL3 was highly induced in response to disruption of Bcr-Abl expression or by inhibiting Bcr-Abl kinase activity in K562 cells and leukemic cells derived from CML patients. Ectopic expression of lncRNA-BGL3 sensitized leukemic cells to undergo apoptosis and inhibited Bcr-Abl-induced tumorigenesis.	24837367	2015	A long noncoding RNA critically regulates Bcr-Abl-mediated cellular transformation by acting as a competitive endogenous RNA.
753	lncRNA-DQ786227	lncRNA-DQ786227	N/A	N/A	N/A	lung cancer	C34		microarray, qPCR, RNAi, in vitro knockdown etc.	cell lines (A549, QG56 etc.)	up-regulated	Expression of lncRNA-DQ786227 in both lung cancer cells differed from that in BEAS-2B cells. Expression of lncRNA-DQ786227 was significantly higher in the A549 and QG56 cells compared with the BEAS-2B cells.Our findings revealed that lncRNA-DQ786227 might act as an oncogene. Our study provides a new insight regarding the oncogenic properties of lncRNA in B[a]P-induced cell transformation.	24084393	2013	LncRNA-DQ786227-mediated cell malignant transformation induced by benzo(a)pyrene.
754	lncRNA-Dreh	lncRNA-Dreh	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR, in vitro knockdown, RIP etc.	HCC tissue	down-regulated	We identified an lncRNA, down-regulated expression by HBx (termed lncRNA-Dreh), which can inhibit HCC growth and metastasis in vitro and in vivo, act as a tumor suppressor in the development of HBV-HCC. LncRNA-Dreh could combine with the intermediate filament protein vimentin and repress its expression, further change the normal cytoskeleton structure to inhibit tumor metastasis.	23239537	2013	Hepatitis B virus X protein (HBx)-related long noncoding RNA (lncRNA) down-regulated expression by HBx (Dreh) inhibits hepatocellular carcinoma metastasis by targeting the intermediate filament protein vimentin.
